,Answers,words
486,Возможность ротации между предприятиями Росатома для повышения своих компетенций. Международные продукты.,"['росатом', 'развитие', 'рынок', 'новый']"
487,"Интересные, логически понятные технические задачи. Которые смогут развить творческий потенциал работника отрасли.","['росатом', 'развитие', 'рынок', 'новый']"
488,Догнать и перегнать Westinghouse и AREVA/FRAMATOME ),"['росатом', 'развитие', 'рынок', 'новый']"
489,"Знать, что топ менеджмент Росатома в курсе что происходит в их дивизионах подробнее.","['росатом', 'развитие', 'рынок', 'новый']"
490,Какие либо прорывные проекты в которых я бы мог поучаствовать и быть первопроходцем!))),"['росатом', 'развитие', 'рынок', 'новый']"
491,Создание продукта позволяющего: - занимать лидирующие позиции на российском и международных рынках; - развивать новые направления; - развивать экономику страны.,"['росатом', 'развитие', 'рынок', 'новый']"
492,Обеспечение достойного дохода своим сотрудникам,"['росатом', 'развитие', 'рынок', 'новый']"
493,"Наверное, ""новые продукты"". Интересно сталкиваться с новыми задачами в процессе разработки нового оборудования.","['росатом', 'развитие', 'рынок', 'новый']"
494,Мир без границ; поддержка семейных ценностей; доступное образование; высокотехнологичное и доступное медицинское обеспечение,"['росатом', 'развитие', 'рынок', 'новый']"
495,"1 Обеспечение всех предприятий ""РОСАТОМА"" проектами и работами на перспективу. 2 ОПТИМИЗАЦИЯ ПРОЦЕССА ЗАКУПКИ МАТЕРИАЛОВ и ОФОРМЛЕНИЯ ДОГОВОРНЫХ ОТНОШЕНИЙ 3 Создание экспертных рабочих групп предприятий отрасли с целью разработки новых продуктов","['росатом', 'развитие', 'рынок', 'новый']"
496,Обеспечение людей электричеством.,"['росатом', 'развитие', 'рынок', 'новый']"
497,"увеличение иностранного портфеля заказов, продвижение топлива на зарубежном рынке","['росатом', 'развитие', 'рынок', 'новый']"
498,"Повышение качества и безопасности. Для этого необходимо повысить квалификацию персонала. А это значит, что специалисты получат больше знаний и выше зарплату.","['росатом', 'развитие', 'рынок', 'новый']"
499,Сама работа в Росатоме вдохновляет!,"['росатом', 'развитие', 'рынок', 'новый']"
500,Вдохновляет участие в создании ледоколов,"['росатом', 'развитие', 'рынок', 'новый']"
501,"Рисковое инвестирование в проекты молодых сотрудников. Помощь в организации бизнеса по идеям молодежи, на основе решения какого нибудь инвестиционного совета.","['росатом', 'развитие', 'рынок', 'новый']"
502,"Разработка абсолютно новых продуктов и конструкций, связанных с работой групп во главе с талантливейшими ведущими инженерами-конструкторами","['росатом', 'развитие', 'рынок', 'новый']"
503,Предоставление ежегодных оплачиваемых отпусков в удобное для работника время и ВОЗМОЖНОСТЬ сместить его относительно утвержденного графика!,"['росатом', 'развитие', 'рынок', 'новый']"
504,"Понимание того, что твоя работа важна твоей стране и людям, которые в ней проживают. Участие в масштабных мировых проектах.","['росатом', 'развитие', 'рынок', 'новый']"
505,Развивать промышленность России и перестать зависеть от импортных комплектующих. Чтоб качество произведенного оборудования в России не уступало зарубежным.,"['росатом', 'развитие', 'рынок', 'новый']"
506,Все для достижения результата. Меньше бюрократии. Больше руководителей профессионалов.,"['росатом', 'развитие', 'рынок', 'новый']"
507,"Гарантия поддержки молодым специалистам, повышение доли на международных рынках","['росатом', 'развитие', 'рынок', 'новый']"
508,Сделать богатыми жителей своей страны.,"['росатом', 'развитие', 'рынок', 'новый']"
509,возможность повысить свою квалификацию,"['росатом', 'развитие', 'рынок', 'новый']"
510,1. Обеспечение высокого уровня жизни рядовых сотрудников ГК Росатом. 2. Освоение дальнего космоса с использованием ядерных двигателей.,"['росатом', 'развитие', 'рынок', 'новый']"
511,"Выход на передовые позиция по вопросам технологического превосходства, повышение престижа профессии через наращивание инструментов стимулирования (материального, социального и др.), отсюда, усиление конкуренции на вакантные места и привлечение лучших специалистов отрасли и страны.","['росатом', 'развитие', 'рынок', 'новый']"
512,Росатом -эффективная компания для компетентной энергичной молодежи,"['росатом', 'развитие', 'рынок', 'новый']"
513,"Перспективные направления деятельности, как пример, развитие кибербезопасности и в целом цифровизация атомного сектора.","['росатом', 'развитие', 'рынок', 'новый']"
514,Стать лидирующей отраслью,"['росатом', 'развитие', 'рынок', 'новый']"
515,Умные руководители с мозгами.........,"['росатом', 'развитие', 'рынок', 'новый']"
516,"Постоянное развитие производственной, социальной среды работника предприятия ГК. Перспектива существенного улучшения материального состояния не на бумаге, а на деле.","['росатом', 'развитие', 'рынок', 'новый']"
517,"Профессиональный рост молодых работников, формирование в высококвалифицированного специалиста.","['росатом', 'развитие', 'рынок', 'новый']"
518,"Карьерный рост, поощрения, премии и т.д.","['росатом', 'развитие', 'рынок', 'новый']"
519,"Разработка и внедрение новых продуктов с использованием современных технологий, использование цифровых технологий на всех предприятиях Росатома.","['росатом', 'развитие', 'рынок', 'новый']"
520,"Реализация проектов и задач, улучшаюших жизнь всех людей России","['росатом', 'развитие', 'рынок', 'новый']"
521,"меньше давления, мотивация со стороны руководства","['росатом', 'развитие', 'рынок', 'новый']"
522,Продвижение ценностей и миссии Росатома,"['росатом', 'развитие', 'рынок', 'новый']"
523,"1) Ответственное отношение к работе проектных организаций, готовность к диалогу 2) Потребность выполнения качаственной работы с соблюдением всех правил и стандартов не на словах, а на деле","['росатом', 'развитие', 'рынок', 'новый']"
524,Выход на международные рынки.,"['росатом', 'развитие', 'рынок', 'новый']"
525,Развитие социальных лифтов в структуре,"['росатом', 'развитие', 'рынок', 'новый']"
526,Стремление к личному развитию и нахождению лучшего варианта решения задачи,"['росатом', 'развитие', 'рынок', 'новый']"
527,Стать международной компанией,"['росатом', 'развитие', 'рынок', 'новый']"
528,"Она уже исполнена, работать в крупной российской компании, сфера деятельности которой связана с чем то глобальным для нашей страны.","['росатом', 'развитие', 'рынок', 'новый']"
529,"Грандиозный проект, мировое лидерство!","['росатом', 'развитие', 'рынок', 'новый']"
530,Широкое распространение идей и инструментария цифровизации для обеспечения внутренней прозрачности работ и минимизации издержек на предприятиях отрасли,"['росатом', 'развитие', 'рынок', 'новый']"
531,Научные исследования в различных перспективных областях.,"['росатом', 'развитие', 'рынок', 'новый']"
532,"Реализация глобальных проектов Росатома, выход на международные рынки, развитие дополнительных видов бизнеса","['росатом', 'развитие', 'рынок', 'новый']"
533,Строительство новых блоков и зарубежных АЭС,"['росатом', 'развитие', 'рынок', 'новый']"
534,"Адекватное отношение ЗП/ответсвенность, отсутсвие навязанной рутины (ПСР, Отчетности ради отчетности, наказание за проступки, не опечатки правильности заполнения бланков)","['росатом', 'развитие', 'рынок', 'новый']"
535,Продвижение ценностей РОСАТОМА,"['росатом', 'развитие', 'рынок', 'новый']"
536,"Быть лидером на мировом рынке, обладать ценными знаниями, которые помогут реализовать скрытый потенциал.","['росатом', 'развитие', 'рынок', 'новый']"
537,"Внести в коллективный договор обязательное требование: ежегодно при увеличении производительности труда работников на 7%, увеличить на данный процент оклад по грейдам всех работников, при достижении данного процента производительности по итогу года в году, следующему за отчетным. И не забывать ежегодное увеличения оклада по инфляции в сентябре, сделав его единым для всех работников: если 6% составляет инфляция, то всем грейдам проводить на этот процент увеличение. А не так, что кому на 1,2%, а соседу на 6,2% и средняя 6%.","['росатом', 'развитие', 'рынок', 'новый']"
538,развитие инфраструктуры городов-спутников для привлечения детей к занятию спортом,"['росатом', 'развитие', 'рынок', 'новый']"
539,Снижение коррупции в атомной отрасли,"['росатом', 'развитие', 'рынок', 'новый']"
540,На шаг впереди. Стремление быть лидером.,"['росатом', 'развитие', 'рынок', 'новый']"
541,Лидерство на мировом рынке атомной энергии - увеличение доли на международных рынках.,"['росатом', 'развитие', 'рынок', 'новый']"
542,Принципы Росатома-Принципы России,"['росатом', 'развитие', 'рынок', 'новый']"
543,"Стремление занять ведущую роль в энергетике как на внутреннем, так и на внешнем рынке.","['росатом', 'развитие', 'рынок', 'новый']"
544,Реализация инноваций в перспективных отраслевых проектах в России и за рубежом. Цифровизация и модернизация процессов в атомной отрасли,"['росатом', 'развитие', 'рынок', 'новый']"
545,На шаг впереди!,"['росатом', 'развитие', 'рынок', 'новый']"
546,Исполнение ключевого события,"['росатом', 'развитие', 'рынок', 'новый']"
547,Строительство АЭС в Российской Федерации с целью достижения закрытого топливного цикла с учетом опережающих сроков строительства по сравнению с зарубежными проектами,"['росатом', 'развитие', 'рынок', 'новый']"
548,"Улучшение качества профессионального развития и обучения, а так же уважительное отношение к труду и дружелюбная атмосфера","['росатом', 'развитие', 'рынок', 'новый']"
549,Участие во внешних мероприятиях всероссийского и международного уровня,"['росатом', 'развитие', 'рынок', 'новый']"
550,"Уважение в ЕДИНОЙ комаде, быть на шаг впереди","['росатом', 'развитие', 'рынок', 'новый']"
551,Лидирующее место в мире по сооружению и безопасной эксплуатации АЭС,"['росатом', 'развитие', 'рынок', 'новый']"
552,"Уверенность в завтрашнем дне, которая, к сожалению, у большинства в наше время отсутствует...","['росатом', 'развитие', 'рынок', 'новый']"
553,Мотивация денежного и спортивного стимулирования работников.,"['росатом', 'развитие', 'рынок', 'новый']"
554,"Оказание положительного влияния на развитие государства за счет развития городов расположения объектов атомной отрасли: развития инфраструктуры, социальных объектов, трудоустройства населения, увеличение бюджета городов. Увеличение роли Росатома на международной ""арене"" - увлечение доли заказов на ""продукты"" Росатома (строительство АЭС и т.д) за рубежом.","['росатом', 'развитие', 'рынок', 'новый']"
555,Переквалификация или перевод работника на другую должность в случае оптимизации численности персонала,"['росатом', 'развитие', 'рынок', 'новый']"
556,"строительство Смоленской АЭС - 2, которое даст будущее родному городу. В данный момент уровень жизни в Десногорске снижается лавинообразным образом.","['росатом', 'развитие', 'рынок', 'новый']"
557,"Увеличения доли строительства в международном рынке и дальнейшее участие мне, как специалисту, на строительстве АЭС за границей","['росатом', 'развитие', 'рынок', 'новый']"
558,"Новые продукты, направленные на улучшение жизни в стране","['росатом', 'развитие', 'рынок', 'новый']"
559,"Новое направление деятельности Росатома, в котором моё участие будет непосредственным.","['росатом', 'развитие', 'рынок', 'новый']"
560,Уверенность в завтрашнем дне и карьерный рост,"['росатом', 'развитие', 'рынок', 'новый']"
561,Получение международного опыта проектирования и обмен профессиональными навыками с высококлассными специалистами отрасли,"['росатом', 'развитие', 'рынок', 'новый']"
562,"Прозрачность работы, а не закулисные сплетни","['росатом', 'развитие', 'рынок', 'новый']"
563,Внедрение и реализация экологически интеллектуальных и экономически обоснованных технологий при выводе АЭС из эксплуатации в России и за рубежом.,"['росатом', 'развитие', 'рынок', 'новый']"
564,Обеспечение безопасного функционирования АЭС,"['росатом', 'развитие', 'рынок', 'новый']"
565,Реализация стратегических задач отрасли.,"['росатом', 'развитие', 'рынок', 'новый']"
566,"скорее не цели Росатома, а возможность развития и поощрения или признания со стороны коллег и руководства","['росатом', 'развитие', 'рынок', 'новый']"
567,"Развитие России, повышение статуса нашей страны на международной арене","['росатом', 'развитие', 'рынок', 'новый']"
568,Формирование комфортной среды для работы и развития,"['росатом', 'развитие', 'рынок', 'новый']"
569,"поддержка вымирающих животных, развитие регионов, высоких технологий","['росатом', 'развитие', 'рынок', 'новый']"
570,материальное обеспечение сотрудников и мотивация,"['росатом', 'развитие', 'рынок', 'новый']"
571,"Новые продукты, хочу принимать участие при разработке и внедрении нововведений","['росатом', 'развитие', 'рынок', 'новый']"
572,Развитие новый знаний,"['росатом', 'развитие', 'рынок', 'новый']"
573,Меня итак вдохновляет моя работа,"['росатом', 'развитие', 'рынок', 'новый']"
574,Разработка и применение передовых мировых технологий в атомной отрасли и смежных производственных областях.,"['росатом', 'развитие', 'рынок', 'новый']"
575,Выполнение работы и поставленных задач качественно и в срок,"['росатом', 'развитие', 'рынок', 'новый']"
576,"Строительство АЭС последнего поколения по всему миру, развитие передовых технологий в области использования атомной энергии. Росатом должен быть ""Корпорацией будущего"", тогда все сотрудники будут с гордостью носить её знаки различия.","['росатом', 'развитие', 'рынок', 'новый']"
577,"Снижение вреда, наносимого природе атомной промышленностью","['росатом', 'развитие', 'рынок', 'новый']"
578,Образовательные и бизнес мероприятия на международном уровне,"['росатом', 'развитие', 'рынок', 'новый']"
579,Прорыв в сфере термоядерного синтеза,"['росатом', 'развитие', 'рынок', 'новый']"
580,"задачи, аналогичные компании Теслы. бесплатная электрификация страны и пр.","['росатом', 'развитие', 'рынок', 'новый']"
581,Новые продукты для российского и международных рынков; повышение престижа работы в отрасли.,"['росатом', 'развитие', 'рынок', 'новый']"
582,Развитие международного сотрудничества.,"['росатом', 'развитие', 'рынок', 'новый']"
583,"Работа не только на зарубежном ""фронте"" заказов, а в первую очередь - строительство новых объектов (АЭС) внутри нашей страны.","['росатом', 'развитие', 'рынок', 'новый']"
584,Укрепление лидерства на международном рынке сооружаемых блоков.,"['росатом', 'развитие', 'рынок', 'новый']"
585,Достичь лидирующего положения на мировой арене.,"['росатом', 'развитие', 'рынок', 'новый']"
586,"Единая команда. Достойная зар.плата, больше спортивных мероприятий и занятия спортом в перерывах между работой","['росатом', 'развитие', 'рынок', 'новый']"
587,"Определение сложных технических вопросов, их решение и дальнейшие публикации и выступления.","['росатом', 'развитие', 'рынок', 'новый']"
588,"преемственность поколений (хочу чтоб мои дети с детства видели, в какой компании работаем мама, участвовали в ее жизни, и в последствии хотели здесь работать и работали)","['росатом', 'развитие', 'рынок', 'новый']"
589,"улучшение качества работы и совершенствование, облегчение взаимодействий внутри отрасли. С каждым годом нагрузка на каждого человека только возрастает и всё только усложняется, нужно уменьшать бюрократию.","['росатом', 'развитие', 'рынок', 'новый']"
590,создание АЭС с минимальными рисками для граждан,"['росатом', 'развитие', 'рынок', 'новый']"
591,Мероприятия и поездки спортивного направления,"['росатом', 'развитие', 'рынок', 'новый']"
592,"Выведение стадии ""планирование проекта"" на уровень, который готов поспорить с мировыми ТОПами строительных предприятий.","['росатом', 'развитие', 'рынок', 'новый']"
593,"Оптимизация процессов, образование, научная деятельность","['росатом', 'развитие', 'рынок', 'новый']"
594,Реальная возможность улучшить и повлиять на традиционные процессы.,"['росатом', 'развитие', 'рынок', 'новый']"
595,"Цель быть самой инновационной и прогрессивной отраслью, как в проммышленности, так и в других областях (социальных, технологиях и т.д.)","['росатом', 'развитие', 'рынок', 'новый']"
596,Цифровизация и новые бизнесы,"['росатом', 'развитие', 'рынок', 'новый']"
597,Дальнейшее заключение контрактов на строительство АЭС. Возможность расти и развиваться.,"['росатом', 'развитие', 'рынок', 'новый']"
598,Выход на зарубежный рынок.,"['росатом', 'развитие', 'рынок', 'новый']"
599,"Повышение престижа Российской Федерации на международной арене, главным образом, путем демонстрации высокого профессионализма и клиентоориентированности Госкорпорации.","['росатом', 'развитие', 'рынок', 'новый']"
600,Справедливость и четкое разграничение обязанностей,"['росатом', 'развитие', 'рынок', 'новый']"
601,повышение эффективности процессов управления проектом сооружения,"['росатом', 'развитие', 'рынок', 'новый']"
602,"Создание новых продуктов для российского и международных рынков. Использование знаний и технологий ""атомного проекта"" в гражданских отраслях.","['росатом', 'развитие', 'рынок', 'новый']"
603,борьба с экологическими проблемами,"['росатом', 'развитие', 'рынок', 'новый']"
604,"Мотивация сотрудников: развитие, командировки, финансы","['росатом', 'развитие', 'рынок', 'новый']"
605,Сделать страну безопасной,"['росатом', 'развитие', 'рынок', 'новый']"
606,"Перспектива и развитие в корпорации, карьерный рост. Достойная заработная плата, внедрение системы мотивации для сотрудников ""KPI"".","['росатом', 'развитие', 'рынок', 'новый']"
607,"Уважительное отношение к труду сотрудников. Работа не на ""помойное ведро"", а на качественный результат.","['росатом', 'развитие', 'рынок', 'новый']"
608,Полная прозрачность и непредубеждённость всех девизионов ГК,"['росатом', 'развитие', 'рынок', 'новый']"
609,сделать жизнь своих сотрудников и окружающих лучше,"['росатом', 'развитие', 'рынок', 'новый']"
610,"Возможность материально обеспечивать себя и свою семью и профессионально расти, в том числе и по карьерной лестнице.","['росатом', 'развитие', 'рынок', 'новый']"
611,"Расширение деятельности на международном рынке. А более мелкие цели - организация рабочих групп по проектируемым объектам среди всего дивизиона с возможностью общения от инженера до начальника группы, ГИПа.","['росатом', 'развитие', 'рынок', 'новый']"
612,"Уважение и забота от начальства, поощрение, справедливое распределение обязанностей, командировки.","['росатом', 'развитие', 'рынок', 'новый']"
613,"Полноценный выход компании на международный уровень (и в проектировании, и в строительстве, и в условиях труда и заработной плате)","['росатом', 'развитие', 'рынок', 'новый']"
614,Выполнение уникальных проектов в атомной отрасли участие Росатома в строительстве ИТЭР,"['росатом', 'развитие', 'рынок', 'новый']"
615,полный охват мирового рынка атомной отрасли,"['росатом', 'развитие', 'рынок', 'новый']"
616,"Достойная оплата труда(которой нет), командировки и интересная развивающая работа.","['росатом', 'развитие', 'рынок', 'новый']"
617,Освоение международных рынков и закрепление позиций в разных странах мира.,"['росатом', 'развитие', 'рынок', 'новый']"
618,Личный вклад в строительную отрасль и продвижение Российских технологий на Зарубежный рынок.,"['росатом', 'развитие', 'рынок', 'новый']"
619,"Успешный выход на международные рынки по всем направлениям деятельности - дает мощный толчок как для профессионального, так и для личностного роста.","['росатом', 'развитие', 'рынок', 'новый']"
620,"Развитие и усовершенствование технологий, достижение лидирующих позиций в области инновационных проектов, решение энергетических, научных проблем и сложных инженерных задач на международном уровне.","['росатом', 'развитие', 'рынок', 'новый']"
621,"Участие в цифровизации, обучение новым программам, визиты на различные предприятия Росатома","['росатом', 'развитие', 'рынок', 'новый']"
622,Новые уникальные качественные продукты и уважение в России и на мировом уровне.,"['росатом', 'развитие', 'рынок', 'новый']"
623,Развитие новых продуктов и повышение доли на международных рынках,"['росатом', 'развитие', 'рынок', 'новый']"
624,"Постоянное развитие, дружный коллектив, высокая заработная плата.","['росатом', 'развитие', 'рынок', 'новый']"
625,Стремление к совершенствованию всех процессов,"['росатом', 'развитие', 'рынок', 'новый']"
626,"Внедрение новых технологий, позволяющих заменить ручной, монотонный труд","['росатом', 'развитие', 'рынок', 'новый']"
627,Значимость выполняемой работы и достойное её вознагрождение,"['росатом', 'развитие', 'рынок', 'новый']"
628,"выход на новые рынки, новые проекты","['росатом', 'развитие', 'рынок', 'новый']"
629,Увеличение доли выработки электроэнергии в стране и мире. Развитие научных и информационных технологий. Импортозамещение.,"['росатом', 'развитие', 'рынок', 'новый']"
630,Создание лучших условий для жизни и работы сотрудников.,"['росатом', 'развитие', 'рынок', 'новый']"
631,"Стать лучшими в своей сфере, командой, на которую все хотят равняться!","['росатом', 'развитие', 'рынок', 'новый']"
632,Стабильность и уверенность в будущем,"['росатом', 'развитие', 'рынок', 'новый']"
633,перевод всего мира на альтернативные источники энергии не наносящие вред окружающей среде.,"['росатом', 'развитие', 'рынок', 'новый']"
634,Возможность проявить себя и получить то чего достоин.,"['росатом', 'развитие', 'рынок', 'новый']"
635,"Перспектива роста,работа в команде,уверенность в будущем","['росатом', 'развитие', 'рынок', 'новый']"
636,"Безопасность производства. Недопущение несчастных случаев, травматизма, аварий, инцидентов.","['росатом', 'развитие', 'рынок', 'новый']"
637,"Большой сложный объект, хорошие руководители, возможность карьерного и профессионального роста, спокойная и интересная рабочая обстановка","['росатом', 'развитие', 'рынок', 'новый']"
638,"Действие в реальности принципов ""Единая команда"", так как везде бравады, а в реальности может быть и кардинально наоборот.","['росатом', 'развитие', 'рынок', 'новый']"
639,Росатом - передовая мировая компания с точки зрения технологий и организации труда.,"['росатом', 'развитие', 'рынок', 'новый']"
640,быть первым в отрасли и создавать с каждым годом все лучшие условия для своих сотрудников.,"['росатом', 'развитие', 'рынок', 'новый']"
641,"Амбициозные, но при этом реально выполнимые задачи, поставленные руководством Госкорпорации ""Росатом""","['росатом', 'развитие', 'рынок', 'новый']"
642,"Создание, продвижение и выход на мировой рынок научных и производственных достижений.","['росатом', 'развитие', 'рынок', 'новый']"
643,Быть на шаг впередеи,"['росатом', 'развитие', 'рынок', 'новый']"
644,"на благо будущего страны: перспективы атомной энергетики, ядерный щит, новые направления в рамках компетенции Росатома","['росатом', 'развитие', 'рынок', 'новый']"
645,"Восстановление экологии на Земле. Умение эффективно достигать цель, сохраняя положительные человеческие качества.","['росатом', 'развитие', 'рынок', 'новый']"
646,"Соц.программы для молодых сотрудников, которые отработали в отрасли 5 и более лет.","['росатом', 'развитие', 'рынок', 'новый']"
647,make more money for youself,"['росатом', 'развитие', 'рынок', 'новый']"
648,"Работа в Росатоме сама по себе вдохновляет. Возможно, волонтерство - помощь приютам, где содержатся животные.","['росатом', 'развитие', 'рынок', 'новый']"
649,Технологическое лидерство придает уверенность в завтрашнем дне и интерес к работе.,"['росатом', 'развитие', 'рынок', 'новый']"
650,Создание новых интересных и полезных технологий,"['росатом', 'развитие', 'рынок', 'новый']"
651,освоение крайнего севера,"['росатом', 'развитие', 'рынок', 'новый']"
652,Цифровизация всех процессов и обучение у топ менеджеров,"['росатом', 'развитие', 'рынок', 'новый']"
653,внедрение технологий Росатома в повседневную жизнь с соответствующим ее качественным улучшением,"['росатом', 'развитие', 'рынок', 'новый']"
654,"Сплоченность коллектива за счет проведения корпоративных мероприятий, ежемесячное подведение итогов и награждение лучших сотрудников.","['росатом', 'развитие', 'рынок', 'новый']"
655,Освоение новых научных направлений,"['росатом', 'развитие', 'рынок', 'новый']"
656,Забота об экологии. Проведение на предприятиях Росатом мероприятий по защите экологии.,"['росатом', 'развитие', 'рынок', 'новый']"
657,"Мой ежедневный труд будет наполнен смыслом, если Росатом будет улучшать уровень жизни не только сотрудников, но и населения России в целом путём снижения себестоимости электроэнергии.","['росатом', 'развитие', 'рынок', 'новый']"
658,"Роботизация деятельности в организациях Госкорпорации ""Росатом""","['росатом', 'развитие', 'рынок', 'новый']"
659,Поощрение в виде премии,"['росатом', 'развитие', 'рынок', 'новый']"
660,Уверенность в завтрашнем дне,"['росатом', 'развитие', 'рынок', 'новый']"
661,Процветание России на международном поле.,"['росатом', 'развитие', 'рынок', 'новый']"
662,сделать мир чище и безопаснее,"['росатом', 'развитие', 'рынок', 'новый']"
663,"новые проекты (цифровизация) ""на шаг впереди""","['росатом', 'развитие', 'рынок', 'новый']"
664,Хорошее поощрение труда работника,"['росатом', 'развитие', 'рынок', 'новый']"
665,"осознание того, что деятельность отрасли реально приносит пользу обществу и обычным людям","['росатом', 'развитие', 'рынок', 'новый']"
666,"Проект ""Прорыв"", дальнейшее продвижение использования мирного атома","['росатом', 'развитие', 'рынок', 'новый']"
667,Продвижение на международных рынках.,"['росатом', 'развитие', 'рынок', 'новый']"
668,переработка опасных для экологии и здоровья продуктов,"['росатом', 'развитие', 'рынок', 'новый']"
669,Организация Фабрики процессов с упором на Безопасность,"['росатом', 'развитие', 'рынок', 'новый']"
670,Цель с большой перспективой будущего современной Российской Федерации в научно исследовательских вопросов и ее дальнейшего развития.,"['росатом', 'развитие', 'рынок', 'новый']"
671,Цель движения отрасли вперед,"['росатом', 'развитие', 'рынок', 'новый']"
672,"Волонтерская деятельность. Создание, участие в волонтерском движении, фонде. Работа занимает большую часть нашего времени и участвовать в подобных мероприятиях вне рабочего графика не представляется возможным. Необходимо предоставить сотрудникам возможность участвовать в волонтерской деятельности на территории работодателя.","['росатом', 'развитие', 'рынок', 'новый']"
673,Становление Роматома мировым лидером по всем видам его деятельности. Безопасная и экологичная деятельность организации,"['росатом', 'развитие', 'рынок', 'новый']"
