,Answers,Number of Words,answers_without_stopwords,cleaned_answers
498,строительство атомных станций за рубежом,5,строительство атомных станций рубежом,строительство атомных станций рубежом
499,Улучшение жизни людей в стране,5,Улучшение жизни людей стране,улучшение жизни людей стране
500,Цель сохранить и передать будущим поколениям больше чем мы имеем сейчас.,11,Цель сохранить передать будущим поколениям имеем сейчас.,цель сохранить передать будущим поколениям имеем сейчас 
501,"Завоевание мировых рынков с получением прибыли, которая частично будет направлена на улучшение благосостояния сотрудников, участвующих в процессах достижения цели.",19,"Завоевание мировых рынков получением прибыли, которая частично направлена улучшение благосостояния сотрудников, участвующих процессах достижения цели.",завоевание мировых рынков получением прибыли  которая частично направлена улучшение благосостояния сотрудников  участвующих процессах достижения цели 
502,Развитие экономики РФ.,3,Развитие экономики РФ.,развитие экономики рф 
503,"Социальная значимость, к примеру чтобы завод помогал городу, а Росатом стране в целом",13,"Социальная значимость, примеру завод помогал городу, Росатом стране целом",социальная значимость  примеру завод помогал городу  росатом стране целом
504,"На мой взгляд, наибольшей актуальностью (применительно к конструкторской форме своей производственной деятельности) должна являться стратегическая цель - ""Новые продукты для российского и международных рынков"", что позволит укрепить и повысить в целом финансово-экономический потенциал как ООО ""НПО ""Центротех"", так и каждого отдельно взятого работника нашего предприятия, включая сотрудников любой категорийности.",49,"На взгляд, наибольшей актуальностью (применительно конструкторской форме своей производственной деятельности) должна являться стратегическая цель - ""Новые продукты российского международных рынков"", позволит укрепить повысить целом финансово-экономический потенциал ООО ""НПО ""Центротех"", каждого отдельно взятого работника нашего предприятия, включая сотрудников любой категорийности.",на взгляд  наибольшей актуальностью  применительно конструкторской форме своей производственной деятельности  должна являться стратегическая цель    новые продукты российского международных рынков   позволит укрепить повысить целом финансово экономический потенциал ооо  нпо  центротех   каждого отдельно взятого работника нашего предприятия  включая сотрудников любой категорийности 
505,Быть мировым лидером в области атомной энергетики,7,Быть мировым лидером области атомной энергетики,быть мировым лидером области атомной энергетики
506,"Стать лидером по атомной энергетике в мире (для меня это может осуществляться через освещение безопасности АЭ среди населения, привлечение и увлечение молодежи АЭС (и не только в атомных городах), развитие науки среди молодых на предприятиях). Именно меня может вдохновить участие в глобальном проекте, возможность обучения для развития своих компетенций, и получения дополнительных знаний в технической сфере",56,"Стать лидером атомной энергетике мире (для это осуществляться освещение безопасности АЭ среди населения, привлечение увлечение молодежи АЭС (и атомных городах), развитие науки среди молодых предприятиях). Именно вдохновить участие глобальном проекте, возможность обучения развития своих компетенций, получения дополнительных знаний технической сфере",стать лидером атомной энергетике мире  для это осуществляться освещение безопасности аэ среди населения  привлечение увлечение молодежи аэс  и атомных городах   развитие науки среди молодых предприятиях   именно вдохновить участие глобальном проекте  возможность обучения развития своих компетенций  получения дополнительных знаний технической сфере
507,"Достижение конкретной цели (не в денежном эквиваленте), которая позволяет нашей Родине подтвердить статус великой державы и государства заботящегося о своих гражданах.",21,"Достижение конкретной цели (не денежном эквиваленте), которая позволяет нашей Родине подтвердить статус великой державы государства заботящегося своих гражданах.",достижение конкретной цели  не денежном эквиваленте   которая позволяет нашей родине подтвердить статус великой державы государства заботящегося своих гражданах 
508,"Польза для гражданского общества. Например, создание опреснительных комплексов большой мощности; реконструкция/создание предприятий пищевой промышленности (молоко, соль и т.п.); природоохранные мероприятия: предприятия, перерабатывающие накопленные и постоянно поступающие отходы - РТИ, нефтешламы, асбестовые отходы,бытовой мусор; производство удобрений; переработка медицинских отходов; производство особо чистых газов (ксенон, криптон, неон, гелий) и т.п.; переработка промышленных сточных вод.",52,"Польза гражданского общества. Например, создание опреснительных комплексов большой мощности; реконструкция/создание предприятий пищевой промышленности (молоко, соль т.п.); природоохранные мероприятия: предприятия, перерабатывающие накопленные постоянно поступающие отходы - РТИ, нефтешламы, асбестовые отходы,бытовой мусор; производство удобрений; переработка медицинских отходов; производство особо чистых газов (ксенон, криптон, неон, гелий) т.п.; переработка промышленных сточных вод.",польза гражданского общества  например  создание опреснительных комплексов большой мощности  реконструкция создание предприятий пищевой промышленности  молоко  соль т п    природоохранные мероприятия  предприятия  перерабатывающие накопленные постоянно поступающие отходы   рти  нефтешламы  асбестовые отходы бытовой мусор  производство удобрений  переработка медицинских отходов  производство особо чистых газов  ксенон  криптон  неон  гелий  т п   переработка промышленных сточных вод 
509,Занять достойное место среди мировых корпораций.,6,Занять достойное место среди мировых корпораций.,занять достойное место среди мировых корпораций 
510,"Компактный ядерный энергоисточник, непосредственно использующий энергию гамма-излучения (это нерешенная научно-техническая задача). По сути - превращение любых ""отходов-излучателей"" в энергоисточник и создание вместо ""могильников РАО"" ""РАО-электростанций"". Исследование физики полураспада, использование случайности распада отдельно взятого ядра как генератор случайных чисел, исследование распределения распада, интеграция физики полураспада в архитектуру вычислительных систем при создании искусственного интеллекта.",52,"Компактный ядерный энергоисточник, непосредственно использующий энергию гамма-излучения (это нерешенная научно-техническая задача). По сути - превращение любых ""отходов-излучателей"" энергоисточник создание вместо ""могильников РАО"" ""РАО-электростанций"". Исследование физики полураспада, использование случайности распада отдельно взятого ядра генератор случайных чисел, исследование распределения распада, интеграция физики полураспада архитектуру вычислительных систем создании искусственного интеллекта.",компактный ядерный энергоисточник  непосредственно использующий энергию гамма излучения  это нерешенная научно техническая задача   по сути   превращение любых  отходов излучателей  энергоисточник создание вместо  могильников рао   рао электростанций   исследование физики полураспада  использование случайности распада отдельно взятого ядра генератор случайных чисел  исследование распределения распада  интеграция физики полураспада архитектуру вычислительных систем создании искусственного интеллекта 
511,Замыкание ядерного топливного цикла. Повышение благосостояния работников.,7,Замыкание ядерного топливного цикла. Повышение благосостояния работников.,замыкание ядерного топливного цикла  повышение благосостояния работников 
512,"Обеспечение обороноспособности и безопасности РФ, а также повышение потенциала РФ на международном рынке",13,"Обеспечение обороноспособности безопасности РФ, также повышение потенциала РФ международном рынке",обеспечение обороноспособности безопасности рф  также повышение потенциала рф международном рынке
513,Наука,1,Наука,наука
514,Что продукция/услуги используются в решении значимых для страны/мира задач.,9,Что продукция/услуги используются решении значимых страны/мира задач.,что продукция услуги используются решении значимых страны мира задач 
515,Защита Родины!,2,Защита Родины!,защита родины 
516,"освоение новых технологий, созидание, выпуск новой продукции, в том числе ТНП.",11,"освоение новых технологий, созидание, выпуск новой продукции, числе ТНП.",освоение новых технологий  созидание  выпуск новой продукции  числе тнп 
517,"Программа развития отрасли, влияющая на подъем экономики страны в целом и обеспечивающая: -защиту своих сотрудников (гарантия работы); -финансовую стабильность.",19,"Программа развития отрасли, влияющая подъем экономики страны целом обеспечивающая: -защиту своих сотрудников (гарантия работы); -финансовую стабильность.",программа развития отрасли  влияющая подъем экономики страны целом обеспечивающая   защиту своих сотрудников  гарантия работы    финансовую стабильность 
518,"Мне сложно ответить на этот вопрос. Я и так вдохновлен своей работой, т.к. я работаю на строящемся предприятии и я понимаю какую огромную роль мы вносим в развитие ""Росатома"".",29,"Мне сложно ответить вопрос. Я вдохновлен своей работой, т.к. работаю строящемся предприятии понимаю какую огромную роль вносим развитие ""Росатома"".",мне сложно ответить вопрос  я вдохновлен своей работой  т к  работаю строящемся предприятии понимаю какую огромную роль вносим развитие  росатома  
519,"Повышение качества жизни в городе Северске, увеличение рабочих мест на градообразующем предприятии.",12,"Повышение качества жизни городе Северске, увеличение рабочих мест градообразующем предприятии.",повышение качества жизни городе северске  увеличение рабочих мест градообразующем предприятии 
520,"Ввести здравый смысл в работу, удалив дармоедов, организации - прокладки, кучу ненужных регламентов и документов",15,"Ввести здравый смысл работу, удалив дармоедов, организации - прокладки, кучу ненужных регламентов документов",ввести здравый смысл работу  удалив дармоедов  организации   прокладки  кучу ненужных регламентов документов
521,лидерство в атомной отрасли в мире,6,лидерство атомной отрасли мире,лидерство атомной отрасли мире
522,Вдохновить может любая масштабная задача направленная на укрепление позиций Росатома на мировом рынке. Однако главным условием будет являться ощущение причастности. Лично для меня неоценимый вес имеет ощущение моего личного вклада в общее дело.,33,Вдохновить любая масштабная задача направленная укрепление позиций Росатома мировом рынке. Однако главным условием являться ощущение причастности. Лично неоценимый вес имеет ощущение моего личного вклада общее дело.,вдохновить любая масштабная задача направленная укрепление позиций росатома мировом рынке  однако главным условием являться ощущение причастности  лично неоценимый вес имеет ощущение моего личного вклада общее дело 
523,"Новые производства (любых товаров/услуг) - во всех городах присутствия РОСАТОМ. Чем больше будет людей работать в производстве товаров-услуг, тем больше будет гордости и вдохновения к работе.",26,"Новые производства (любых товаров/услуг) - городах присутствия РОСАТОМ. Чем людей работать производстве товаров-услуг, гордости вдохновения работе.",новые производства  любых товаров услуг    городах присутствия росатом  чем людей работать производстве товаров услуг  гордости вдохновения работе 
524,"повышение благосостояния жителей РФ, работа по выводу страны на уровень мировых лидеров в части здравоохранения, технологий, социального обеспечения, культуры и образования, качества жизни. развитие инновационной продукции, внедрение новых технологий, научно-исследовательская работа",31,"повышение благосостояния жителей РФ, работа выводу страны уровень мировых лидеров части здравоохранения, технологий, социального обеспечения, культуры образования, качества жизни. развитие инновационной продукции, внедрение новых технологий, научно-исследовательская работа",повышение благосостояния жителей рф  работа выводу страны уровень мировых лидеров части здравоохранения  технологий  социального обеспечения  культуры образования  качества жизни  развитие инновационной продукции  внедрение новых технологий  научно исследовательская работа
525,Повышение престижа России как мировой державы. Обеспечение каждого Россиянина инновационными продуктами и доступам к доступной электроэнергии. Поддержание обороноспособности страны.,19,Повышение престижа России мировой державы. Обеспечение каждого Россиянина инновационными продуктами доступам доступной электроэнергии. Поддержание обороноспособности страны.,повышение престижа россии мировой державы  обеспечение каждого россиянина инновационными продуктами доступам доступной электроэнергии  поддержание обороноспособности страны 
526,Большая цель - Большая Зарплата,5,Большая цель - Большая Зарплата,большая цель   большая зарплата
527,Разработка новых продуктов,3,Разработка новых продуктов,разработка новых продуктов
528,Независимость РФ,2,Независимость РФ,независимость рф
529,Надежность и безопасность работы АЭС и ТЭЦ,7,Надежность безопасность работы АЭС ТЭЦ,надежность безопасность работы аэс тэц
530,Ставить перед собой все новые и новые задачи и выполнять стратегические цели Росатома.,13,Ставить собой новые новые задачи выполнять стратегические цели Росатома.,ставить собой новые новые задачи выполнять стратегические цели росатома 
531,"Развития предприятия, вклад каждого в общее дело.",7,"Развития предприятия, вклад каждого общее дело.",развития предприятия  вклад каждого общее дело 
532,"Принять к сведению содержание статьи ""Что будет, когда китайцы достроят «искусственное солнце»? Новая эра или тотальное обнищание России?"" Ссылка на источник далее. https://zen.yandex.ru/media/istoricheskie_fakty/chto-budet-kogda-kitaicy-dostroiat-iskusstvennoe-solnce-novaia-era-ili-totalnoe-obniscanie-rossii-5c861198a7af8400b34ce254",23,"Принять сведению содержание статьи ""Что будет, китайцы достроят «искусственное солнце»? Новая эра тотальное обнищание России?"" Ссылка источник далее. https://zen.yandex.ru/media/istoricheskie_fakty/chto-budet-kogda-kitaicy-dostroiat-iskusstvennoe-solnce-novaia-era-ili-totalnoe-obniscanie-rossii-5c861198a7af8400b34ce254",принять сведению содержание статьи  что будет  китайцы достроят «искусственное солнце»  новая эра тотальное обнищание россии   ссылка источник далее  https   zen yandex ru media istoricheskie fakty chto budet kogda kitaicy dostroiat iskusstvennoe solnce novaia era ili totalnoe obniscanie rossii caafbce
533,"Создание продуктов высокого качества, которые будут иметь абсолютные преимущества перед конкурентами, тем самым вызывая интерес большого количества заказчиков и интенсивно увеличивая портфель заказов Госкорпорации. Если в двух словах - создание привлекательного с точки зрения инвесторов продукта высочайшего качества.",38,"Создание продуктов высокого качества, которые будут иметь абсолютные преимущества конкурентами, самым вызывая интерес большого количества заказчиков интенсивно увеличивая портфель заказов Госкорпорации. Если двух словах - создание привлекательного точки зрения инвесторов продукта высочайшего качества.",создание продуктов высокого качества  которые будут иметь абсолютные преимущества конкурентами  самым вызывая интерес большого количества заказчиков интенсивно увеличивая портфель заказов госкорпорации  если двух словах   создание привлекательного точки зрения инвесторов продукта высочайшего качества 
534,"Работа на результат, в атмосфере справедливости.",6,"Работа результат, атмосфере справедливости.",работа результат  атмосфере справедливости 
535,Развитие и поддержка ОЦК!!!,4,Развитие поддержка ОЦК!!!,развитие поддержка оцк   
536,возможность сделать жизнь людей лучше,5,возможность сделать жизнь людей,возможность сделать жизнь людей
537,Технологический рывок; работа на благо государства и граждан,8,Технологический рывок; работа благо государства граждан,технологический рывок  работа благо государства граждан
538,Мой ежедневный труд наполнен смыслом.,5,Мой ежедневный труд наполнен смыслом.,мой ежедневный труд наполнен смыслом 
539,"В моей работе очень полезным было бы взаимодействие с другим дивизионом. На данный момент инструмента связи нет. Мы с коллегой работаем уже полтора года над совместным проектом, в рамках одного из проектов корпакадемии, движимые лишь энтузиазмом и личной преданностью профессии. Нас не интересует финансовая мотивация, мы лишь хотим двигать свою профессию вперед. Для меня ""большой целью"" может стать некая структура, которая будет включать в себя активистов, вроде нас, обеспечивая нам возможность работать совместно, как носителей опыта. Междивизиональные распри не дают раскрыть потенциал проекта полностью.",84,"В моей работе очень полезным взаимодействие другим дивизионом. На данный момент инструмента связи нет. Мы коллегой работаем полтора года совместным проектом, рамках одного проектов корпакадемии, движимые лишь энтузиазмом личной преданностью профессии. Нас интересует финансовая мотивация, лишь хотим двигать профессию вперед. Для ""большой целью"" стать некая структура, которая включать активистов, вроде нас, обеспечивая нам возможность работать совместно, носителей опыта. Междивизиональные распри дают раскрыть потенциал проекта полностью.",в моей работе очень полезным взаимодействие другим дивизионом  на данный момент инструмента связи нет  мы коллегой работаем полтора года совместным проектом  рамках одного проектов корпакадемии  движимые лишь энтузиазмом личной преданностью профессии  нас интересует финансовая мотивация  лишь хотим двигать профессию вперед  для  большой целью  стать некая структура  которая включать активистов  вроде нас  обеспечивая нам возможность работать совместно  носителей опыта  междивизиональные распри дают раскрыть потенциал проекта полностью 
540,"на работу меня может вдохновить материальное стимулирование (денежное вознаграждение, повышение реальной заработной платы).",13,"работу вдохновить материальное стимулирование (денежное вознаграждение, повышение реальной заработной платы).",работу вдохновить материальное стимулирование  денежное вознаграждение  повышение реальной заработной платы  
541,Международное сотрудничество,2,Международное сотрудничество,международное сотрудничество
542,Безопасность сотрудников атомной отрасли.,4,Безопасность сотрудников атомной отрасли.,безопасность сотрудников атомной отрасли 
543,Развитие передовых технологий и передача опыта партнерами социальной сфере,9,Развитие передовых технологий передача опыта партнерами социальной сфере,развитие передовых технологий передача опыта партнерами социальной сфере
544,"Новые, конкурентные энергоблоки в России и за рубежом.",8,"Новые, конкурентные энергоблоки России рубежом.",новые  конкурентные энергоблоки россии рубежом 
545,Программа ввода новых АЭС в РФ,6,Программа ввода новых АЭС РФ,программа ввода новых аэс рф
546,Защита Родины,2,Защита Родины,защита родины
547,Развитие технологий и создание продуктов направленных на улучшение жизни людей.,10,Развитие технологий создание продуктов направленных улучшение жизни людей.,развитие технологий создание продуктов направленных улучшение жизни людей 
548,Перспектива внедрения и развития моих результатов работы,7,Перспектива внедрения развития моих результатов работы,перспектива внедрения развития моих результатов работы
549,Трансформация Росатома в глобальную международную корпорацию,6,Трансформация Росатома глобальную международную корпорацию,трансформация росатома глобальную международную корпорацию
550,"снижение себестоимости продукта за счет внедрения новых технологий. (новое программное обеспечение на всех этапах производства, современное безопасное оборудование, модернизация или замена устаревшего оборудования со сроком более 10 лет- независимо от его состояния, сокращение всех согласующих сторон при закупках, документооборота)",39,"снижение себестоимости продукта счет внедрения новых технологий. (новое программное обеспечение этапах производства, современное безопасное оборудование, модернизация замена устаревшего оборудования сроком 10 лет- независимо состояния, сокращение согласующих сторон закупках, документооборота)",снижение себестоимости продукта счет внедрения новых технологий   новое программное обеспечение этапах производства  современное безопасное оборудование  модернизация замена устаревшего оборудования сроком  лет  независимо состояния  сокращение согласующих сторон закупках  документооборота 
551,Тотальная модернизация отрасли.,3,Тотальная модернизация отрасли.,тотальная модернизация отрасли 
552,Восстановление и развитие отрасли станкостроение.,5,Восстановление развитие отрасли станкостроение.,восстановление развитие отрасли станкостроение 
553,Обеспечивать доступной и стабильной электроэнергией Россию и зарубежные страны. Обеспечивать достойную зарплату сотрудникам атомной отрасли за счёт повышения эффективности работы.,20,Обеспечивать доступной стабильной электроэнергией Россию зарубежные страны. Обеспечивать достойную зарплату сотрудникам атомной отрасли счёт повышения эффективности работы.,обеспечивать доступной стабильной электроэнергией россию зарубежные страны  обеспечивать достойную зарплату сотрудникам атомной отрасли счёт повышения эффективности работы 
554,"Работать так, чтобы окружающий мир стал безопаснее и чище.",9,"Работать так, окружающий мир стал безопаснее чище.",работать так  окружающий мир стал безопаснее чище 
555,Большие деньги,2,Большие деньги,большие деньги
556,Заработать больше денег.,3,Заработать денег.,заработать денег 
557,Служить интересам нашей родины.,4,Служить интересам нашей родины.,служить интересам нашей родины 
558,Улучшение качества жизни людей,4,Улучшение качества жизни людей,улучшение качества жизни людей
559,Вклад в укрепление экономики и безопасности РФ,7,Вклад укрепление экономики безопасности РФ,вклад укрепление экономики безопасности рф
560,"Обеспечение безопасности и стабильности жизни граждан России, уверенность в завтрашнем дне",11,"Обеспечение безопасности стабильности жизни граждан России, уверенность завтрашнем дне",обеспечение безопасности стабильности жизни граждан россии  уверенность завтрашнем дне
561,"Мероприятие для сотрудников корпорации в форме конкурса, позволяющее показать в полной мере способности и умения работника в профессиональном и в творческом плане,своего рода набор заданий, выполнение которых позволит получить материальное вознаграждение или ценный подарок, либо путешествие.",36,"Мероприятие сотрудников корпорации форме конкурса, позволяющее показать полной мере способности умения работника профессиональном творческом плане,своего рода набор заданий, выполнение которых позволит получить материальное вознаграждение ценный подарок, либо путешествие.",мероприятие сотрудников корпорации форме конкурса  позволяющее показать полной мере способности умения работника профессиональном творческом плане своего рода набор заданий  выполнение которых позволит получить материальное вознаграждение ценный подарок  либо путешествие 
562,"Безопасность и целостность государства. А вообще, главное что-бы у детей было все хорошо, для этого и тружусь.",17,"Безопасность целостность государства. А вообще, главное что-бы детей хорошо, тружусь.",безопасность целостность государства  а вообще  главное что бы детей хорошо  тружусь 
563,"Никакая. Для меня важнее содержание моей работы, отношение ко мне, а не лозунги. Но учитывая арктическое направление, меня бы вдохновило, если бы новой ценностью Росатома стало что-нибудь экологическое. Судьба белых медведей в Арктике, по идее, теперь должна Росатом интересовать не меньше тоннажа перевозимого Северным морским путем грузов. Еще меня интересует тема мусора, которого мы, несмотря на всю чистоту нашей энергии, производим массу. Как мы его утилизируем, как мы можем внедрить эти технологии в отечественный мусорный бизнес, как, опять таки, мы можем помочь решить проблему арктического мусора?..",86,"Никакая. Для важнее содержание моей работы, отношение ко мне, лозунги. Но учитывая арктическое направление, вдохновило, новой ценностью Росатома стало что-нибудь экологическое. Судьба белых медведей Арктике, идее, должна Росатом интересовать меньше тоннажа перевозимого Северным морским путем грузов. Еще интересует тема мусора, которого мы, несмотря чистоту нашей энергии, производим массу. Как утилизируем, можем внедрить технологии отечественный мусорный бизнес, как, таки, можем помочь решить проблему арктического мусора?..",никакая  для важнее содержание моей работы  отношение ко мне  лозунги  но учитывая арктическое направление  вдохновило  новой ценностью росатома стало что нибудь экологическое  судьба белых медведей арктике  идее  должна росатом интересовать меньше тоннажа перевозимого северным морским путем грузов  еще интересует тема мусора  которого мы  несмотря чистоту нашей энергии  производим массу  как утилизируем  можем внедрить технологии отечественный мусорный бизнес  как  таки  можем помочь решить проблему арктического мусора   
