,Какая «большая цель» Росатома может вдохновить Вас на работу и наполнить смыслом ваш ежедневный труд?
242,Развитие новых производств.
243,достижение материального благополучия
244,"Обеспечить мир чистой, безопасной, доступной энергией и инновациями на основе атомных технологий"
245,Строительство БН-1200
246,"Осуществлять безопасность Страны, снабжать чистой атомной энергией, наращивание военного потенциала."
247,"""Большая цель"" мне не нужна, достаточно, чтобы была достойная зарплата, достойный соцпакет, хороший коллектив коллег."
248,"Уверенная долгосрочная позиция на рынке присутствия, работа с внутренними недостатками и создание условий для стабильности труда для каждого работника"
249,Процветание России. Повышение жизненого уровня.
250,Процветание России. Повышение уровня жизни.
251,Снижение себестоимости продукции и сокращение времени протекания процессов
252,"В стремлении улучщить процессы в Росатоме я не одинок и меня поддерживают руководители, коллеги, подчинённые."
253,Стать лидером на глобальном рынке производителя и поставщика атомной энергии.
254,мировое лидерство
255,"Многие специалисты и руководители отмечают, что перестали получать удовлетворение от выполнения ими своей работы, как это было 6-7 лет назад, не видят в ней смысла. Причины: - большую часть времени приходиться заниматься не своей работой: выполнять несвойственную для них функцию, в которой они бывают не компетентны, составлять отчеты,отписки, отвечать на запросы, опросы и многое др. Больше спрашивают за своевременность предоставления этих бумаг, чем за свою работу, на выполнение которой остается очень мало времени. - протекание процессов увеличилось в разы. Ожидаемых результатов своей работы, которые должны приносить удовлетворение и являться смыслом ежедневного труда, не видно. Больше приходиться работать на задачи кого-то другого, результаты которые также не видно. От этого и теряется смысл ежедневного труда. - процесс бюрократизации приобретает огромные масштабы. Бюрократия - это тот камень, о который разбивались и не такие гиганты мировой промышленности. Итог: ""больная цель"" Росатома - искоренить бюрократию, повысить профессионализм управленческого аппарата, который должен знать, что надо делать о не выпытывать у рабочих ""что делать?"". Предоставить возможность специалистам заниматься своей работой, в которой они смогут увидеть смысл своего ежедневного труда."
256,"Стать компанией №1 в России по размеру бизнеса. Годовая выручка на уровне 10 трлн.руб., т.е. опередить Роснефть и Газпром"
257,Стабильность
258,"Глобальная экспансия Росатома, направленная на улучшение качества жизни людей по всему миру и укрепление позиций России на мировой арене"
259,"АЭС в каждый ""дом"" - доступность (экономическая, технологическая) сооружения АЭС в любой стране мира"
260,Развитие технологий накопления электрической энергии
261,Решение проблем перемещения в пространстве
262,Мир во всём мире.
263,Сделать Россию великой
264,обороноспособность России
265,"Передовые научные разработки, воплащаемые в жизнь. Будущее - это мы!"
266,"осознание значимости моей работы для страны.такой целью для меня является создание новейшего оружия, которое до этого не разрабатывали, не изготавливали и не испытывали."
267,"РОСАТОМ - самая успешная компания в России и во всем мире, с высокими требованиями к своим сотрудникам и щедро поощеряющая их эффективность"
268,Разработка новых продуктов для наших заказчиков.
269,Развитие промышленности и рост благосостояния населения.
270,"Идея мирного атома (уход от военных проектов) Идея малой, технологичной и безопасной атомной энергетики Идея замкнутого цикла (безотходность) Идея в разы снизить себестоимость электроэнергии для предприятий и населения"
271,"Снижение уровня сокращений персонала безусловно вдохновит, ведь это будет говорить о том, что у нас есть будущее, уверенность в завтрашнем дне"
272,"Мастер сборочного участка далек от ""БОЛЬШИХ ЦЕЛЕЙ"" Росатома. Когда руководство видит вашу работу, поощряет вас, способствует карьерному росту - вот это вдохновляет на работу и наполняет смыслом ежедневный труд."
273,Внедрение новейших технологий
274,Внедрение новых технологий
275,Увеличение портфеля заказов на международном рынке
276,"Цель, направленная на решение общенациональных интересов, являющаяся значимой составляющей стратегии развития России сегодня"
277,Безоговорочный мировой лидер отрасли
278,Любая четко сформулированная и скоординировано на самых низких уровнях декомпозиции.
279,"Выполнять только ту работу, которая действительно нужна."
280,"Росатом давит зарубежных конкурентов на международном рынке. Кругом санкции, а мы стоим по всем миру. Сильнее Росатом - сильнее Россия. Мы крупная, успешная, ГОС!Корпорация НЕСЫРЬЕВАЯ!"
281,Разработка более экологичных источников энергии для массового использования в социальной сфере.
282,"Работа над прорывной технологией или продуктом, которые принесут новые возможности для всего человечества. Как пример - промышленный термояд."
283,"Выполняемая работа должна приносить видимую пользу и эта польза должна быть ощутима как в масштабах нашей страны, так и в обычной жизни каждого отдельно взятого гражданина."
284,"Создание безопасных объектов, минимальные риски жизням людей"
285,Самый лучший работодатель в РФ.
286,Реализация новых продуктов на российском и зарубежных рынках. Поддержание работоспособности ядерного щита РФ.
287,Оптимизация процессов.
288,Создание комфортной среды для работы и жизни
289,Покорить космос.
290,"Сохранение мировой позиции Корпорации, сохранение репутации Росатома в мировом сообществе"
291,Энергетический пуск АЭС
292,Повышения материального
293,Стать мировым лидером атомной промышленности
294,"Уважение к человеку ТРУДА, работнику, в первую очередь к тем кто у станка,в цехе, на стройке....кто производит прибавочную стоимость.В первую очередь рабочие должны почувствовать качественные изменения жизни, заботливое отношение к его семье."
295,"Если эта цель ""отражается"" в моей работе (я могу ответить, что я лично делаю для того, чтобы цель была достигнута)"
296,"1. Приумножение и передача знаний от поколения к поколению работников Госкорпорации. 2. Интересные и амбициозные задачи, когда ты знаешь, что в них будет частичка вклада твоего труда 3. Повышение конкурентной заработной платы сотрудников"
297,Прекращение принятия политически мотивированных и неффективных решений в повседневной деятельности предприятий ГК.
298,"Стать локомотивом новой индустриализации: - сохранение лидерства в атомных технологиях; - распространение положительного опыта на все госкорпорации (закупки, ПСР, ...); - создание новой модели корпоративных отношений на основе внутрифирменного предпринимательства (именно это и является вовлеченностью); - на основе вышеуказанных корпоративных отношений - развитие социального партнерства как основы политической системы."
299,"Повышение уровня дохода населения России, как в ОАЭ. Как пел Слепаков про Газпром "" Ведь это наш общий газ, а мечты сбываются только у вас"""
300,"Исторически сложилось, что предприятия имеют большое количество запасов, которые со временем превратились в неликвиды. Есть определённые барьеры, в связи с которыми предприятия не могут их списать, а затем продать по цене металлолома. Предлагаю организовать компанию на уровне Госкорпорации по очищению предприятия от данного ""мусора"", который числиться на балансе предприятия, а так же занимает площади, которые можно использовать более эффективно."
301,"Оплата труда,здоровая, а не нервная атмосфера на работе"
302,"Смыслом наполняет все, что касается судьбы страны и реального влияния на ее развитие. Вдохновляет история атомной отрасли и возможность сегодня развивать страну и двигать ее вперед."
303,Международные проекты (максимальный охват)
304,приносить пользу людям
305,Развитие атомной энергетики РФ
306,Сделать мир чище и безопаснее.
307,переход на новые технологии использовании новых методов руководства
308,Сокращение сроков протекания процессов
309,"В РОсатоме нет таких. Даже результаты по текущим большим проектам (строительство АЭС, Прорыв, БН) вызывают больше вопросов чем вдохновления"
310,Это переход к идейной работе..
311,лидерство в строительстве АЭС
312,Приоритет безопасности перед сроками. Сдача документации Заказчику с первого раза
313,"Я работаю в Росатоме - значит я остаюсь актуальным, востребованным в эпоху цифровой трансформации."
314,Безопасное и устойчивое обеспечение электроэнергией в нашей стране.
315,"Обеспечение страны чистой, безопасной энергией на основе атомных технологий"
316,qqaswdfqwedqwdqw
317,Грамотная оценка сотрудников
318,Повышение доли на международных рынках (Развитие международной деятельности)
319,Инновационные продукты на Российском и Зарубежных рынках
320,"Импортозамещение: создание своей системы, которая могла бы полностью заменить SAP ERP."
321,обеспечение достойного уровня жизни каждого гражданина
322,"Сделать ядерную/атомную энергию во всех областях жизни человека 100% безопасной, а результат использования максимально доступным"
323,"Завоевание международных рынков, занятие лидирующих позиций в России."
324,"Становление Росатома цифровой и быстро принимающей современные решения компанией: Снижение бюрократии, гибкость при взаимодействии в решении задач, а не ""прикрывание"" регламентами, процедурами, правилами и пр"
325,Снижение значимости коэфициента видимости бурной деятельности.
326,"Мой ежедневный труд и без этого наполнен смыслом. Но, пожалуй, очень интересной темой вижу в поисках путей отказа от термодинамического цикла для преобразования энергии ядерного распада в электрическую энергию"
327,Работающая АЭС
328,"Превращение Росатома в глобального технологического лидера, не страдающего параноей и пытающегося стать в каждой бочке затычкой."
329,Внедрение последних достижений науки в производственные процессы.
330,"цифровая трансформация предприятия, участие в проекте по цифровизации, цифровым двойникам изготавливаемого продукта предприятия"
331,"Госкорпорация ""Росатом"" будет не только организацией, которая осваивает федеральный бюджет и заключает ""политические"" сделки, но и полноценным участником бизнеса по продуктовым направлениям."
332,Новое направление работы которое может возглавить команда единомышленников.
333,Самая технологичная компания
334,Участи и успешное выполнение всех проектов Росатома по строительству АЭС за рубежом!
335,Полный отказ от бумажного документооборота
336,"Создать единую систему организации труда, для профильных предприятий."
337,Мировое масштабирование бизнеса
338,"Сделать качество приоритетным над сроками и сокращением стоимости в своих проектах. Ориентация на квалификацию кадров и грамотную последовательность проектирования и строительства, а не на разрастание управляющего неквалифицированного персонала. Ориентация на дело, а не образ. Честность, отсутствие коррупции. В общем меня бы вдохновила смена политики росатома, как я ее вижу."
339,создание новых продуктов для российского и международного рынков
340,Повышение благосостояния сотрудников. Наиболее высокий уровень з/п по РФ среди линейных и средних специалистов.
341,Снижение тарифа на электроэнергию для населения
342,"Одна из крупнейших отраслей высокого передела в России, заметная на мировом уровне."
343,"На благо людей, на благо Родины"
344,Улучшение благосостояния рядовых сотрудников и страны.
345,Искоринение не эффективных руководителей
346,"Меня бы вдохновила скорее не масштабная внешняя цель, их и так хватает. А цель, направленная вовнутрь - сделать работу в отрасли действительно желанной и востребованной среди работников не только из-за зарплаты, но из-за высокой организованности труда, отлаженности процессов, получаемого качественного передового опыта"
347,"Быть лучшими во всем, ""локомотивом"" для страны"
348,Создание новых продуктов. Оптимизация текущих процессов корпорации.
349,Каждый житель планеты будет иметь доступ к экологически чистой энергии
350,цифровизация и автоматизация
351,Создание новых продуктов для Российского и международных рынков.
352,Постройка новых ледоколов.
353,Вдохновит понимание ценности моего вклада другими и обратное
354,"Активное использование инновационных решений. Разработка моделей, алгоритмов и систем искусственного интеллекта (например, для прогнозирования последствий тех или иных управленческих решений)."
355,Доля выработки электроэнергии более 80% Укрепление обороноспособности страны Зеленые технологии
356,Постоянное развитие
357,Запуск пилотируемого полета на Марс
358,"Строительство нового инновационного блока, например БН-1200"
359,Зарубежная стройка!
360,Сплочение стран в поиске эффективных и безопасных источников энергии
361,"Формирование корпоративной культуры, для которой является неприемлемыми бюрократия, работа в ""колодцах"", безынициативность, ориентированной на эффективное горизонтальное взаимодействие и развитие сотрудников."
362,"Идея, связанная с новым прорывным источником энергии."
363,"Новые прорывные продукты, направленные на улучшение экологической ситуации, прежде всего в Российской Федерации. Речь не только о РАО, но также об очищении воды, переработка или уничтожение отходов жизнедеятельности человечества не только без нанесения вреда окружающей среде, но с пользой для неё. Новые продукты в сфере медицины, люди, а тем более ДЕТИ НЕ ДОЛЖНЫ БОЛЕТЬ! Дети - наше будущее и это должно быть главной ценностью отрасли! Кому нужен мирный атом, да и вообще Росатом, если будущего не будет?"
364,Развитие СМП и альтернативных источников энергии
365,"Создание новых продуктов для Российского рынка, направленных на снижение стоимости электроэнергии."
366,"Осознание причасности к защите России, участие в поддержании обороноспособности страны."
367,"экспорт оборудования и энергоблоков АЭС ""Российского дизайна"""
368,"Цель - сделать так, что жизнь каждого человека была мирной, безопасной и обеспеченной чистой и безопасной энергией."
369,"Создание унифицированных полностью атомных станций малой мощности (0,1-5МВт) для освоение околоземного и дальнего космического пространства, труднодоступной арктической зоны и подводных глубин."
370,Строительство новых АЭС в РФ и странах СНГ.
371,иии
372,"Поддержание мира на планете. Самореализация сотрудников не в ущерб работе, личности и самореализации другого сотрудника предприятия."
373,Цифровизация всех процессов на предприятии
374,Премирование
375,"Участие в большом проекте, который осью проходит не только по моему подразделению, но и по всему институту, а еще лучше по дивизиону или нескольким."
376,"Инновации каждый день, чистая энергия и устойчивое развитие ГК ""Росатом"""
377,"На данный момент - реализация проектов по сооружению объектов за рубежом (АЭС, АЭС ММ ЦЯНТ/ЦЯИТ) и конечно цифровизация."
378,Разработка миниатюрных источников энергии для исследований космоса.
379,Зарубежная стройка
380,безопасные технологии
381,"Достижение новых высот, повышение статуса страны на международной аренею"
382,"создание высокотехнологичного НОВОГО продукта, который бы принес пользу человечеству"
383,"Цель-вывести Россию на первый план по всем показателям (экономика, политика и пр.), что улучшит нашу жизнь, поднимет ее уровень. Если появится четкое понимание, что после всего, что мы сделаем, мы станем недосягаемы конкурентам и станем абсолютными лидерами в мире - ради этого можно и сутками работать"
384,Увеличение зарплаты
385,"Если формально, то «большая цель» Росатома, которая может меня вдохновить – «ответственность за результат». А если честно, то все цели Росатома напоминают только лозунги и в таком формате ведут, по моему мнению, в некуда. Когда по работе пришлось проходить курсы по повышению корпоративной ценности, знания или навыков, которые необходимо развивать, а именно: Единая команда (управление карьерой и преемственностью, а также принципы формирования эффективной команды) и Эффективность (управление эффективностью деятельности) увидел, на кого они рассчитаны, и как оказалось на менеджеров. Менеджер (англ., единственное число manager, от manage - управлять), специфический социальный слой современного капиталистического общества, включающий наёмных профессиональных управляющих (директора предприятий, руководители отдельных подразделений концернов, трестов, синдикатов и т. д.). Но много ли их надо на производстве, где на одного рабочего приходит по шесть руководителей. Да, пройдя курсы, узнал новые термины, но на работу в единой команде – это не как не повлияет. Мне кажется, что всё зависит от людей работающих рядом, которые хотят принести пользу обществу. По моему мнению, все цели Росатома поставлены на повышения прибыли любой ценой. На всех выступлениях идет речь о повышении прибыли компании, но не о социальном благополучии его сотрудников."
386,"Создание эффективной системы организации и управления отраслью, освобождённой от огромного числа непрофильных структур и вспомогательного персонала, в которой приоритет отдаётся труду работников - носителей специальных (критических) знаний."
387,Предложение на рынке самого проработанного и качественного продукта (блок АЭС)
388,"Создание предельно безопасной энергетической установки, в проекте которой предусмотрена технология её демонтажа при выводе из эксплуатации с применением реанимированного оборудования, которое после капремонта можно использовать на новых энергоблоках. Пример: первые ступени ракет в космонавтике. А у нас это реализовать существенно проще, т.к. не нужно спускать на землю на парашютах."
389,Мировой лидер
390,Давать свет в новые и новые города и страны.
391,"Поиск, разработка, внедрение новых источников энергии. Всеобщая электрификация страны и удешевление использования электроэнергии для предприятий и населения. Разработка двигателей и других технических устройств на совершенно новых физических принципах работы. Изобретение и разработка оружия, дающего кардинальное превосходство над оружием любых потенциальных противников России. Самое активное участие корпорации в освоении космического пространства."
392,"Участие в ассоциации ""Цифровая энергетика"". А мой ежедневный труд наполнен смыслом благодаря ощущению единой команды."
393,"У Росатома уникальное положение в экономической системе страны. И обусловлено оно реальными достижениями. Вместе с тем, бремя усложненной, громоздкой структуры управления сегодня не позволяет гибко реагировать на новые реалии. Заорганизовали так, что сутевые вопросы теперь носят формальный и декларативный характер. Ежечасно поступают десятки новых документов управленческого характера, которые не только не улучшают, но и ухудшают атмосферу в коллективе. Нет доверия, уважения. Есть соперничество и желание обогнать. Большая цель Росатома - объединить желание и возможности людей СОЗИДАТЬ. И выражаться это должно 1. В отказе от формализма, в котором сейчас тонут и руководители, и работники наших предприятий. 2. В заинтересованном реальном взаимодействии людей, а не бумаг, как это есть сейчас. Нужна реформа всей отрасли."
394,"Цель - автоматизация большинства процессов, полный уход от бумажного документооборота во всех сферах деятельности, электронное хранилище."
395,"Экономический/социальный ""щит"" страны"
396,"Создание признанного в мире научного кластера на базе Росатома такого уровня, в который бы стремились попасть (на работу, учебу) лучшие студенты или ученые со всего мира. Крупный социальный проект по сохранению исторического наследия. Не секрет что очень много ценных архитектурных памятников в нашем государстве находятся на грани утраты. Воссоздание того или иного объекта (усадьбы, парка, музея) - усилило бы роль Госкорпорации как компании, создающей ценность для будущих поколений."
397,Лидерство Росатома в укреплении и развитии России
398,"Целью Росатома заключается в достижении заявленных результатов, путем постоянного усовершенствовании технологий, рабочих процессов. Для выполнения данной цели большое значение имеет сплоченный коллектив. При правильной мотивации сотрудников, имеется большая вероятность найти уникальные решения поставленным задачам."
399,Цель - добиться свободы Отечества от внешнего управления.
400,Строительство новых энергоблоков и жилого фонда для работников атомных станций.
401,производство бесплатной электрической энергии на АЭС для населения РФ
402,"Развитие нашей страны, первенство в области атомной энергетики"
403,- Новые продукты для российского и международных рынков
404,Создание новых продуктов для российского и международного рынка
405,"Обеспечить мир чистой, безопасной, доступной энергией и инновациями на основе атомных технологий."
406,Мировое лидерство в разработке оружия на новых физических принципах в целях реализации нашей страной политики ядерного сдерживания.
407,"Моим руководителям не интересны цели Росатома, поэтому как бы я не вдохновлялся все равно приземлят"
408,"Безопасная атомная энергетика в РФ и странах партнеров.Компактные и доступные по цене новые источники электроэнергии, для использования в гражданской промышленности (""ядерные батарейки"" для авто, обеспечение энергией удаленных от городской инфраструктуры объектов) Освоение космоса. Строительство космических станций с новыми источниками энергии обеспечивающих долгую автономность объектов."
409,Надежность и постоянное развитие Росатома.
410,"""большая цель"" и ""наполнить смыслом ежедневный труд"" вещи не совместимые: ""большая цель"" это лидерство на мировом рынке, освоение новых технологий и т.д. а ""наполнить смыслом ежедневный труд"" могут программы социальной помощи и поддержки, коллективные мероприятия по обучению и занятию спортом, тренинги по сплоченности коллектива, повышение квалификации и посещение научно-технических форумов. Мы обычные люди и для наполнения смыслом ежедневного труда нам не нужны лозунги и марши, нам достаточно внимания и заботы руководства."
411,"тк я занимаюсь обучением персонала, то мне бы хотелось организовать и продумать такую возможность для персонала, чтобы это было удобно, доступно, тк многие обучения очные для персонала (особенно на станциях) целая проблема. например иметь для персонала отдельную ""площадку"" в мобильном телефоне для изучения английского языка. где при выполнении каких либо заданий определяется уровень, и по уровню организуются чаты на определенные темы - например техническое обсуждение вопросов или разговор на свободную тему. сотрудник получал бы доступ к такому ресурсу и в удобное для себя время мог бы развиваться, но это надо контролировать и курировать именно в организации, чтобы контролировать уровень знаний работника, переход его владения английским языком от от одного уровня к другому"
412,Наращивание объема работ.
413,"обеспечение ""массовости"" выработки электрической и тепловой энергии атомными станциями с целью удешевления ее стоимости для конечного потребителя и ее доступности."
414,Сделать жизнь потребителя нашей продукции и услуг лучше.
415,Направленная на долгосрочный рост благополучия отрасли и отражающаяся на росте благосостояния её работников
416,"Цель, направленная на долгосрочный рост благополучия отрасли и отражающаяся на благосостоянии её работников"
417,"Реализация проекта, какого либо, за результат которого отвечаешь и естественно получаешь!"
418,"Обеспечение безопасной эксплуатации объектов атомной энергии при безусловном адекватном, а не мизерном росте заработной платы сотрудников отрасли."
419,Борьба с бюрократическими проволочками.
420,"Создание нового продукта, новой технологии"
421,"Смысл и так заложен в моих ежедневных обязанностях и необходимостью улучшений как сделать лучше работу предприятия и улучшить его фин.результат. ""Большая цель"" - это цифровизация отрасли. Дополнительно наполнит смыслом ежедневный труд."
422,заработная плата и карьерный рост!
423,Вклад в развитие атомной отрасли.
424,Текущие цели Росатома вдохновляют и наполняют смыслом.
425,"Цель Росатома - приносить пользу стране, с одной стороны, и ценить своих сотрудников, с другой. Без любого из этих элементов всё теряет смысл, цель недостижима."
426,Развитие бизнес-направлений предприятия на котором я работаю.
427,"Мой ежедневный труд уже наполнен смыслом, поставлено много задач, которые требуется решить для достижения больших целей и дополнительное целеполагание для вдохновления меня на работу не требуется."
428,"Становление Росатома как современной, инновационной компании. Как в плане технологий и новых направлений, так и в взаимоотношении между сотрудниками, сотрудниками и руководителями."
429,"Развитие бизнес-направлений, которыми занимается предприятие, работником которого я являюсь"
430,Развитие новых продуктов для российского и международных рынков. Привлечение самых современных технологий и локализация в контуре Росатома.
431,Стать мировым лидером в сфере инноваций
432,Собственный проект по производству светодиодного освещения и стать директором данного производства и сбыта.
433,"Здравствуйте! Очень интересный вопрос. Я работаю в атомной отрасли с 2003 года. За эти 15 лет многое поменялось. У нас появилась современная оргтехника и обстановка на рабочих местах улучшилась. У нас хороший социальный пакет. Вроде бы все делается для людей. Но у нас абсолютно на мой взгляд отсутствует работа с персоналом. Обучение по профессиональным вопросам проводится очень плохо, в основном обучения направлены на тему развития инструментов ПСР, но на местах они не применяются. Началось активное обучение Культуре безопасности, но на местах опять же все применяется очень плохо. А все почему - потому что многие люди не меняют свое мышление, люди не желают развиваться. У нас нет никаких корпоративных тренингов(может для высших руководителей и есть) направленных на психологическое развитие. Многие люди приходят на работу отсидеть от звонка до звонка ничего не хотят менять ни в себе ни вокруг себя. Большая цель - это развитие персонала, улучшение условий труда(инструменты, обстановка, современное оборудование, своевременные поставки материалов и т.п.) и отдыха, досуга персонала. А мне моя работа нравится, я тружусь с удовольствием."
