,Answers,Number of Words,answers_without_stopwords,cleaned_answers,cleaned_answers_lemm,Topic,Count,Name,words
110,"Производство изотопов медицинского назначения и знание, что их активно применяют в России. Вклад в повышение обороноспособности страны. Завоевание мирового лидерства в области энергетики, в т.ч. разработка новых источников энергии и ядерных технологий.",32,"Производство изотопов медицинского назначения знание, активно применяют России. Вклад повышение обороноспособности страны. Завоевание мирового лидерства области энергетики, т.ч. разработка новых источников энергии ядерных технологий.",производство изотопов медицинского назначения знание  активно применяют россии  вклад повышение обороноспособности страны  завоевание мирового лидерства области энергетики  т ч  разработка новых источников энергии ядерных технологий ,производство изотоп медицинский назначение знание активно применять россия вклад повышение обороноспособность страна завоевание мировой лидерство область энергетика так ч разработка новый источник энергия ядерный технология,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
111,"Росатом: - мировой лидер в строительстве АЭС - корпорация, формирующая тренды для внутренних и внешних рынков (цифра, ядерная медицина, наследие, новые материалы и т.п.) - интегратор науки и технологий (поддержка и развитие фундаментальной науки и технологий)",36,"Росатом: - мировой лидер строительстве АЭС - корпорация, формирующая тренды внутренних внешних рынков (цифра, ядерная медицина, наследие, новые материалы т.п.) - интегратор науки технологий (поддержка развитие фундаментальной науки технологий)",росатом    мировой лидер строительстве аэс   корпорация  формирующая тренды внутренних внешних рынков  цифра  ядерная медицина  наследие  новые материалы т п     интегратор науки технологий  поддержка развитие фундаментальной науки технологий ,росатом мировой лидер строительство аэс корпорация формировать тренд внутренний внешний рынок цифра ядерный медицина наследие новый материал так п интегратор наука технология поддержка развитие фундаментальный наука технология,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
112,"Улучшение качества жизни: - развитие новых технологий в жизненно важных сферах (медицина, транспорт, образование, обеспечение продуктами питания и т.д.) и их доступность для населения - решение экологических проблем",28,"Улучшение качества жизни: - развитие новых технологий жизненно важных сферах (медицина, транспорт, образование, обеспечение продуктами питания т.д.) доступность населения - решение экологических проблем",улучшение качества жизни    развитие новых технологий жизненно важных сферах  медицина  транспорт  образование  обеспечение продуктами питания т д   доступность населения   решение экологических проблем,улучшение качество жизнь развитие новый технология жизненно важный сфера медицина транспорт образование обеспечение продукт питание так далее доступность население решение экологический проблема,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
113,Сооружение как можно большего числа энергетических объектов использования атомной энергии на реакторах новейших разработок с соблюдением высшего приоритета атомной энергетики - безопасности и качества,24,Сооружение большего числа энергетических объектов использования атомной энергии реакторах новейших разработок соблюдением высшего приоритета атомной энергетики - безопасности качества,сооружение большего числа энергетических объектов использования атомной энергии реакторах новейших разработок соблюдением высшего приоритета атомной энергетики   безопасности качества,сооружение больший число энергетический объект использование атомный энергия реактор новый разработка соблюдение высокий приоритет атомный энергетика безопасность качество,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
114,"Глобальное международное доминирование компании в сфере не только атомной, но и в большей степени альтернативной энергетики, основанное на инновационных и передовых научных разработках",23,"Глобальное международное доминирование компании сфере атомной, большей степени альтернативной энергетики, основанное инновационных передовых научных разработках",глобальное международное доминирование компании сфере атомной  большей степени альтернативной энергетики  основанное инновационных передовых научных разработках,глобальный международный доминирование компания сфера атомный больший степень альтернативный энергетика основать инновационный передовой научный разработка,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
115,Безопасное использование атомной энергии и утилизации отходов и как следствие отсутствие проблем у наших будущих поколений.,16,Безопасное использование атомной энергии утилизации отходов следствие отсутствие проблем наших будущих поколений.,безопасное использование атомной энергии утилизации отходов следствие отсутствие проблем наших будущих поколений ,безопасный использование атомный энергия утилизация отход следствие отсутствие проблема наш будущий поколение,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
116,"Выполнение задач по обороноспособности страны, включая обеспечение проводки судов атомными ледоколами по северному морскому пути.",15,"Выполнение задач обороноспособности страны, включая обеспечение проводки судов атомными ледоколами северному морскому пути.",выполнение задач обороноспособности страны  включая обеспечение проводки судов атомными ледоколами северному морскому пути ,выполнение задача обороноспособность страна включая обеспечение проводок судно атомный ледокол северный морской путь,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
117,"1. Улучшение экологической ситуации в России и в мире. 2. Улучшение качества жизни населения России и мира с помощью производства электрической энергии, разработки и реализации доступных средств ядерной медицины и информационных технологий.",32,"1. Улучшение экологической ситуации России мире. 2. Улучшение качества жизни населения России мира помощью производства электрической энергии, разработки реализации доступных средств ядерной медицины информационных технологий.",  улучшение экологической ситуации россии мире    улучшение качества жизни населения россии мира помощью производства электрической энергии  разработки реализации доступных средств ядерной медицины информационных технологий ,улучшение экологический ситуация россия мир улучшение качество жизнь население россия мир помощь производство электрический энергия разработка реализация доступный средство ядерный медицина информационный технология,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
118,"Гибкая разработка и производство (полный цикл от идеи до продукта) новых продуктов для устойчивого развития общества в таких сферах как: экология, безопасность, эффективное использование энергоресурсов, здравоохранение.",26,"Гибкая разработка производство (полный цикл идеи продукта) новых продуктов устойчивого развития общества таких сферах как: экология, безопасность, эффективное использование энергоресурсов, здравоохранение.",гибкая разработка производство  полный цикл идеи продукта  новых продуктов устойчивого развития общества таких сферах как  экология  безопасность  эффективное использование энергоресурсов  здравоохранение ,гибкий разработка производство полный цикл идея продукт новый продукт устойчивый развитие общество такой сфера как экология безопасность эффективный использование энергоресурсы здравоохранение,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
119,"Оздоровление экономики, экологии, условий жизни. ЭКО-ориентированное устойчивое к манипуляциям общество. Эко-безопасное электричество для всей планеты. Инструмент влияния на поведение корпораций и стран уничтожающих планету. Доступные автономных поселений в любых условиях - технологии для дальних космических перелётов.",36,"Оздоровление экономики, экологии, условий жизни. ЭКО-ориентированное устойчивое манипуляциям общество. Эко-безопасное электричество всей планеты. Инструмент влияния поведение корпораций стран уничтожающих планету. Доступные автономных поселений любых условиях - технологии дальних космических перелётов.",оздоровление экономики  экологии  условий жизни  эко ориентированное устойчивое манипуляциям общество  эко безопасное электричество всей планеты  инструмент влияния поведение корпораций стран уничтожающих планету  доступные автономных поселений любых условиях   технологии дальних космических перелётов ,оздоровление экономика экология условие жизнь эко ориентировать устойчивый манипуляция общество эко безопасный электричество весь планета инструмент влияние поведение корпорация страна уничтожать планета доступный автономный поселение любой условие технология дальний космический перелёт,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
120,"Понимание необходимости результатов деятельности каждого сотрудника для: - обеспечения безопасности нашей страны; - реализации преимущества России по сравнению с другими странами в науке, технологиях, разработках и т.п.; - безусловного и постоянного развития науки, технологий, разработок и т.п.",37,"Понимание необходимости результатов деятельности каждого сотрудника для: - обеспечения безопасности нашей страны; - реализации преимущества России сравнению другими странами науке, технологиях, разработках т.п.; - безусловного постоянного развития науки, технологий, разработок т.п.",понимание необходимости результатов деятельности каждого сотрудника для    обеспечения безопасности нашей страны    реализации преимущества россии сравнению другими странами науке  технологиях  разработках т п     безусловного постоянного развития науки  технологий  разработок т п ,понимание необходимость результат деятельность каждый сотрудник для обеспечение безопасность наш страна реализация преимущество россия сравнение другой страна наука технология разработка так п безусловный постоянный развитие наука технология разработка так п,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
121,"Обеспечение потребителей расположенных в зонах децентрализованного энергоснабжения надежными, качественными и экономически конкурентоспособными атомными энергоисточниками малой мощности",16,"Обеспечение потребителей расположенных зонах децентрализованного энергоснабжения надежными, качественными экономически конкурентоспособными атомными энергоисточниками малой мощности",обеспечение потребителей расположенных зонах децентрализованного энергоснабжения надежными  качественными экономически конкурентоспособными атомными энергоисточниками малой мощности,обеспечение потребитель расположить зона децентрализованный энергоснабжение надёжный качественный экономически конкурентоспособный атомный энергоисточник малый мощность,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
122,Снижение кадрового голода на предприятиях ГК Росатом и популяризация инженерно-технических специальностей среди школьников.,13,Снижение кадрового голода предприятиях ГК Росатом популяризация инженерно-технических специальностей среди школьников.,снижение кадрового голода предприятиях гк росатом популяризация инженерно технических специальностей среди школьников ,снижение кадровый голод предприятие гк росатом популяризация инженерный технический специальность среди школьник,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
123,"Зарубежные контакты,выставки,конференции Развиние новых направлений в отрасти в сфере IT, проектирования, интернет технологий и т.п Повышение з/п !!!",18,"Зарубежные контакты,выставки,конференции Развиние новых направлений отрасти сфере IT, проектирования, интернет технологий т.п Повышение з/п !!!",зарубежные контакты выставки конференции развиние новых направлений отрасти сфере it  проектирования  интернет технологий т п повышение з п    ,зарубежный контакт выставка конференция развиний новый направление отрастить сфера it проектирование интернет технология так п повышение з п,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
124,"Какие то глобальные инициативы а-ля ""Атомная энергия в каждый дом""))) Но вообще, цель по продвижению атомной энергетики как одной из самых сбалансированных по критериям цена-безопасность-эффективность",25,"Какие глобальные инициативы а-ля ""Атомная энергия каждый дом""))) Но вообще, цель продвижению атомной энергетики одной самых сбалансированных критериям цена-безопасность-эффективность",какие глобальные инициативы а ля  атомная энергия каждый дом     но вообще  цель продвижению атомной энергетики одной самых сбалансированных критериям цена безопасность эффективность,какой глобальный инициатива а ля атомный энергия каждый дом но вообще цель продвижение атомный энергетика один самый сбалансированный критерий цена безопасность эффективность,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
125,"Создание неперехватываемых, незасекаемых гиперзвуковых баллистических ракет с термоядерными боеголовками первого удара для гарантированного уничтожения крупнейших городов и военных баз США. А после этого создание термоядерного ректора для достижения мировой гегемонии",30,"Создание неперехватываемых, незасекаемых гиперзвуковых баллистических ракет термоядерными боеголовками первого удара гарантированного уничтожения крупнейших городов военных баз США. А создание термоядерного ректора достижения мировой гегемонии",создание неперехватываемых  незасекаемых гиперзвуковых баллистических ракет термоядерными боеголовками первого удара гарантированного уничтожения крупнейших городов военных баз сша  а создание термоядерного ректора достижения мировой гегемонии,создание неперехватывать незасекать гиперзвуковой баллистический ракета термоядерный боеголовка первый удар гарантировать уничтожение крупный город военный база сша а создание термоядерный ректор достижение мировой гегемония,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
126,Выход в тройку лидеров по генерации электроэнергии в мире с помощью российских реакторов независимо в какой стране они будут установлены.,20,Выход тройку лидеров генерации электроэнергии мире помощью российских реакторов независимо стране будут установлены.,выход тройку лидеров генерации электроэнергии мире помощью российских реакторов независимо стране будут установлены ,выход тройка лидер генерация электроэнергия мир помощь российский реактор независимо страна быть установить,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
127,"- Новые продукты для российского и международных рынков А еще приведение внешнего и внутреннего вида АЭС к современному виду. Налаживание инфраструктуры для персонала на территории станции(дороги, парковки, питание, диваны в вестибюлях, информационные экраны, снабжение водой, кофе-поинты и прочее).Стыдно показывать атомную станцию на фотографиях.",43,"- Новые продукты российского международных рынков А приведение внешнего внутреннего вида АЭС современному виду. Налаживание инфраструктуры персонала территории станции(дороги, парковки, питание, диваны вестибюлях, информационные экраны, снабжение водой, кофе-поинты прочее).Стыдно показывать атомную станцию фотографиях.",  новые продукты российского международных рынков а приведение внешнего внутреннего вида аэс современному виду  налаживание инфраструктуры персонала территории станции дороги  парковки  питание  диваны вестибюлях  информационные экраны  снабжение водой  кофе поинты прочее  стыдно показывать атомную станцию фотографиях ,новый продукт российский международный рынок а приведение внешний внутренний вид аэс современный вид налаживание инфраструктура персонал территория станция дорога парковка питание диван вестибюль информационный экран снабжение вода кофе поинта прочее стыдно показывать атомный станция фотография,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
128,"ядерная медицина, ведутся работы по созданию первого федерального центра ядерной медицины.",11,"ядерная медицина, ведутся работы созданию первого федерального центра ядерной медицины.",ядерная медицина  ведутся работы созданию первого федерального центра ядерной медицины ,ядерный медицина вестись работа создание первый федеральный центр ядерный медицина,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
129,"Стремление к безопасной и экологичной выработке электроэнергии. Научные и инновационные методы к утилизации и к строительству АЭС. Исследования и нововведения, способные изменить пренебрежительное отношение к атомной промышленности по всему миру.",30,"Стремление безопасной экологичной выработке электроэнергии. Научные инновационные методы утилизации строительству АЭС. Исследования нововведения, способные изменить пренебрежительное отношение атомной промышленности всему миру.",стремление безопасной экологичной выработке электроэнергии  научные инновационные методы утилизации строительству аэс  исследования нововведения  способные изменить пренебрежительное отношение атомной промышленности всему миру ,стремление безопасный экологичный выработка электроэнергия научный инновационный метод утилизация строительство аэс исследование нововведение способный изменить пренебрежительный отношение атомный промышленность весь мир,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
130,"Цель: стать первыми в мире по проектированию, строительству и эксплуатации атомной энергии во всех сферах (энергетика, строительство, оборонная промышленность, медицина и всё-всё-всё)",22,"Цель: стать первыми мире проектированию, строительству эксплуатации атомной энергии сферах (энергетика, строительство, оборонная промышленность, медицина всё-всё-всё)",цель  стать первыми мире проектированию  строительству эксплуатации атомной энергии сферах  энергетика  строительство  оборонная промышленность  медицина всё всё всё ,цель стать первый мир проектирование строительство эксплуатация атомный энергия сфера энергетика строительство оборонный промышленность медицина всё всё всё,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
131,"Дешевая, экологичная и конкурентноспособная электроэнергия для населения и бизнеса Российской Федерации",11,"Дешевая, экологичная конкурентноспособная электроэнергия населения бизнеса Российской Федерации",дешевая  экологичная конкурентноспособная электроэнергия населения бизнеса российской федерации,дешёвый экологичный конкурентноспособный электроэнергия население бизнес российский федерация,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
132,"Сделать мир ярче (свети электроэнергия в самых отдаленных местах России, выработку электроэнергии экологичной посредством неукоснительного соблюдения ТБ, экономии ресурсов Земли)",20,"Сделать мир ярче (свети электроэнергия самых отдаленных местах России, выработку электроэнергии экологичной посредством неукоснительного соблюдения ТБ, экономии ресурсов Земли)",сделать мир ярче  свети электроэнергия самых отдаленных местах россии  выработку электроэнергии экологичной посредством неукоснительного соблюдения тб  экономии ресурсов земли ,сделать мир яркий светить электроэнергия самый отдалить место россия выработка электроэнергия экологичный посредством неукоснительный соблюдение тб экономия ресурс земля,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
133,Популяризация науки. Создание эффективной научной инфраструктуры в ядерной промышленности.,9,Популяризация науки. Создание эффективной научной инфраструктуры ядерной промышленности.,популяризация науки  создание эффективной научной инфраструктуры ядерной промышленности ,популяризация наука создание эффективный научный инфраструктура ядерный промышленность,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
134,Стать признанным мировым лидером в обеспечении ядерной энергией и внедрение инновационных технологий во все сферы деятельности корпорации.,17,Стать признанным мировым лидером обеспечении ядерной энергией внедрение инновационных технологий сферы деятельности корпорации.,стать признанным мировым лидером обеспечении ядерной энергией внедрение инновационных технологий сферы деятельности корпорации ,стать признать мировой лидер обеспечение ядерный энергия внедрение инновационный технология сфера деятельность корпорация,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
135,Внедрение инноваций в информационную сферу жизни компании,7,Внедрение инноваций информационную сферу жизни компании,внедрение инноваций информационную сферу жизни компании,внедрение инновация информационный сфера жизнь компания,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
136,"Привлечение людей к здоровому образу жизни. Освещение глобальных проблем (например пластиковые отходы, лечение рака и т.д.), а также оказание помощи в борьбе с этими проблемами.",25,"Привлечение людей здоровому образу жизни. Освещение глобальных проблем (например пластиковые отходы, лечение рака т.д.), также оказание помощи борьбе этими проблемами.",привлечение людей здоровому образу жизни  освещение глобальных проблем  например пластиковые отходы  лечение рака т д    также оказание помощи борьбе этими проблемами ,привлечение человек здоровый образ жизнь освещение глобальный проблема например пластиковый отход лечение рак так далее также оказание помощь борьба этот проблема,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
137,"Научные разработки и достижения, которые изменят к лучшему нашу жизнь - от производства относительно дешевой электроэнергии на АЭС до новейших разработок в различных областях, напрямую не связанных с атомной отраслью (пример: ООО ""Русатом – Аддитивные технологии"", чья продукция может применяться и за пределами отрасли).",44,"Научные разработки достижения, которые изменят лучшему нашу жизнь - производства относительно дешевой электроэнергии АЭС новейших разработок различных областях, напрямую связанных атомной отраслью (пример: ООО ""Русатом – Аддитивные технологии"", чья продукция применяться пределами отрасли).",научные разработки достижения  которые изменят лучшему нашу жизнь   производства относительно дешевой электроэнергии аэс новейших разработок различных областях  напрямую связанных атомной отраслью  пример  ооо  русатом – аддитивные технологии   чья продукция применяться пределами отрасли  ,научный разработка достижение который изменить хороший наш жизнь производство относительно дешёвый электроэнергия аэс новый разработка различный область напрямую связанный атомный отрасль пример ооо русатый – аддитивный технология чей продукция применяться предел отрасль,8,47,8_разработка_технология_атомный_так,"['разработка', 'технология', 'атомный', 'так']"
138,1. Создание новой технологической платформы/технологического уклада использования атомной энергии в XXI в,12,1. Создание новой технологической платформы/технологического уклада использования атомной энергии XXI,  создание новой технологической платформы технологического уклада использования атомной энергии xxi,создание новый технологический платформа технологический уклад использование атомный энергия xxi,-1,553,-1_росатом_развитие_рынок_новый,"['росатом', 'развитие', 'рынок', 'новый']"
139,"Команда, которая готова работать сообща и коллективно решать сложные вопросы. Правильное разделение труда. Качество продукции должно быть выше исполнения сроков.",20,"Команда, которая готова работать сообща коллективно решать сложные вопросы. Правильное разделение труда. Качество продукции должно выше исполнения сроков.",команда  которая готова работать сообща коллективно решать сложные вопросы  правильное разделение труда  качество продукции должно выше исполнения сроков ,команда который готовый работать сообща коллективно решать сложный вопрос правильный разделение труд качество продукция должный выше исполнение срок,-1,553,-1_росатом_развитие_рынок_новый,"['росатом', 'развитие', 'рынок', 'новый']"
140,"""НИКОГДА НЕ ОСТАНАВЛИВАЙСЯ НА ДОСТИГНУТОМ,ИДИ ВСЕГДА НА ШАГ ВПЕРЕДИ СВОИХ КОНКУРЕНТОВ""",11,"""НИКОГДА НЕ ОСТАНАВЛИВАЙСЯ НА ДОСТИГНУТОМ,ИДИ ВСЕГДА НА ШАГ ВПЕРЕДИ СВОИХ КОНКУРЕНТОВ""", никогда не останавливайся на достигнутом иди всегда на шаг впереди своих конкурентов ,никогда не останавливаться на достигнутый идти всегда на шаг впереди свой конкурент,-1,553,-1_росатом_развитие_рынок_новый,"['росатом', 'развитие', 'рынок', 'новый']"
